Comp.1,Comp.2,DPH,Temperature,SL,Cluster
-1.4509130967932726,-0.2116639270377598,12,20,4.026,1
-1.2287493044792452,0.05644849053530433,12,20,4.436,1
-1.3200800583361434,0.04344161481512875,12,20,4.196,1
-1.1884758672644034,0.07773200729057426,12,20,4.434,1
-1.1129062597188424,0.010230649389665926,12,20,4.583,1
-1.1960075854699603,0.03429837815471886,12,20,4.545,1
-1.8288458746326963,-0.24356468776046675,12,20,3.638,1
-1.3734505595995363,0.01273544355337412,12,20,4.239,1
-1.2330975707440546,-0.08061401742075935,12,20,4.299,1
-1.4115246220623088,-0.04223140982540525,12,20,4.13,1
-1.3994781662076399,0.06372827670283002,12,20,4.437,1
-0.7697848527237776,0.21192006021771248,12,20,5.112,1
-1.3105419854085754,0.013892904179630057,12,20,4.311,1
-1.3136904502417441,-0.12385783876522914,12,20,4.339,1
-1.3260333043206645,0.035948432910855185,12,20,4.23,1
-1.4571459387916847,-0.13750654834531023,12,20,4.247,1
-1.3738270875910923,0.0228129472541882,12,20,4.434,1
-1.0360045817486743,0.17680747610571568,12,20,4.819,1
-1.4136857153035767,0.0478987604127421,12,20,4.376,1
-1.3308006623787905,-0.039170961435654184,12,20,4.295,1
-1.0265970796449317,0.1472253248336728,12,20,4.804,1
0.9817989438799652,0.19155170242194733,20,20,7,2
0.7713143317519261,0.1526189258041846,20,20,7.01,2
0.7674105196020062,0.11520051946551318,20,20,6.629,2
1.3847935912646676,0.12083547931405676,20,20,7.488,2
0.8078627390872698,0.1698783938617956,20,20,6.533,2
0.3476262650288747,-0.04295311989273972,20,20,5.971,2
0.796287015223042,0.2544120869999513,20,20,6.778,2
0.45438038424301963,0.39554579512005883,20,20,6.48,2
0.4234507932050541,0.1839214121080066,20,20,6.192,2
1.2554394209914377,0.2655733200741193,20,20,7.406,2
0.9820345612010255,0.18318166910526937,20,20,6.908,2
1.269068817529464,0.05535166199743678,20,20,7.246,2
0.6545310572104417,0.21186442222324645,20,20,6.576,2
0.24107378847510116,0.5006469253134417,20,20,5.769,2
0.992038133713823,0.42362753852237106,20,20,6.949,2
1.3313218884940998,0.37407081398298325,20,20,7.556,2
0.18851078151966022,0.30314574598044747,20,20,6.287,2
0.7731779266097857,0.3611162115541114,20,20,6.831,2
1.2672157190237285,0.4589387295856721,20,20,7.401,2
0.8939730161643682,0.27614655161996915,20,20,6.828,2
1.0398609540303092,0.21523714647892073,20,20,7.029,2
1.3823734973279098,0.48517043672868587,20,20,7.558,2
1.1356532830614698,0.32303072255111326,20,20,7.13,2
0.9209952847192914,0.16693934532508797,20,20,6.889,2
1.112547787452287,0.19406209579964817,20,20,7.115,2
1.350439769962808,0.1891256348605143,20,20,7.594,2
1.1738856392137351,0.23305027443785914,20,20,7.242,2
1.096919483566022,0.2605188488416311,20,20,7.159,2
1.3020530826241004,0.32943254246809633,20,20,7.287,2
0.8659861367546486,0.3560440664096042,20,20,6.799,2
2.0902614527188446,0.3800780286375439,24,20,8.359,2
2.1522032066542205,0.27564265825999257,24,20,8.43,2
1.835651366338746,0.11494199958242043,24,20,8.225,2
3.5812105011107884,-0.14049199071239407,24,20,10.398,3
2.2705311013736176,0.21013263485438952,24,20,8.673,2
1.6285182188387652,0.25543877855427877,24,20,7.707,2
1.7169751668651385,0.3073083470517412,24,20,7.817,2
2.386200835455728,0.30796997469474857,24,20,8.874,2
2.9144139855971947,0.3398271319567648,24,20,9.757,2
2.243006041387338,0.310480429037992,24,20,8.667,2
2.096792074777714,0.37399808576051635,24,20,8.453,2
1.3395016168260923,0.3260705676839517,24,20,7.41,2
1.7727374421163236,0.29842504939798414,24,20,8.014,2
2.8468787143334353,0.37943175617324715,24,20,9.414,2
2.269398689833334,0.36794655148596556,24,20,8.665,2
0.7762556878977104,0.20861992682390615,24,20,6.645,2
3.690588229197109,-0.4747084928306285,24,20,10.24,3
2.400789728610389,0.15373043488090288,24,20,8.921,2
2.3910994344270424,0.239601787445493,24,20,8.854,2
2.023162627528886,0.27852166803274603,24,20,8.382,2
1.9749756638488658,0.6372736627576473,24,20,8.342,2
2.305617008516293,0.2535972640102557,24,20,8.567,2
1.6348509230553794,0.6119178927918068,24,20,7.983,2
1.9101849861206297,0.4199708748871769,24,20,8.437,2
1.7226282730858993,0.46483306806426206,24,20,7.862,2
1.918440023109786,0.3537514918137621,24,20,8.213,2
1.809052525796151,0.2901773816739303,24,20,8.312,2
1.4264363581145212,0.3403998919453144,24,20,7.601,2
1.7623235710264775,0.3762244857040705,24,20,8.195,2
3.2763954180148525,0.41944950124784575,24,20,10.156,2
-2.0801041486577576,-0.4172612452048274,7,24,3.284,1
-2.0283125068404626,-0.4103970847021661,7,24,3.4,1
-2.461933194911478,-0.6207537564439359,7,24,2.672,1
-2.6250358778959346,-0.43324586501136847,7,24,2.671,1
-2.739207072732158,-0.5042877240277193,7,24,2.582,1
-2.433322380217624,-0.5537971243795246,7,24,2.806,1
-2.3063942972713476,-0.8175422605449261,7,24,2.853,1
-2.3183620767863533,-0.5107854286773825,7,24,3.041,1
-2.218155044684359,-0.29517630104806847,7,24,3.222,1
-2.0598080006839985,-0.4054927577037499,7,24,3.415,1
-2.5322071387676517,-0.4648714484865228,7,24,2.749,1
